İŞLEM YAPAN PERSONEL;FATURA TARİHİ;MARKA;İŞLETME ADI;CİHAZIN ADI;MODEL;CİHAZ SERİ NO;"TEKNİK SERVİSE 
 GİRİŞ TARİHİ";"TEKNİK SERVİSTEN 
 ÇIKIŞ TARİHİ";CİHAZ SORUNU;CİHAZ SORUN AÇIKLAMALARI;YAPILAN İŞLEM;TEKNİK SERVİS MASRAFI;"BİZİM MÜŞTERİYE
 SÖYLEDİĞİMİZ  MASRAF";ONAYLAYAN KİŞİ;"CONNECTE
 YAZILDI MI";;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ANTALYA ERASTA;ROBOTPOS MÜŞTERİ EKRANI;;SN:R2017301013;25.12.2017;;ÇALIŞIR DURUMDA İKEN KARARMA SORUNU;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI AKARETLER AL GÖTÜR;ROBOTPOS YAZICI;;SN:1612090064 ;27.12.2017;;KAPAK SORUNU ;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;VE ALA MANGAL YENİSAHRA OPTİMUM;ROBOTPOS YAZICI ;;1612090085;27.12.2017;;KAPAK SORUNU ;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;OSMANLIOĞLU KURUYEMİŞ EMİNÖNÜ;ROBOTPOS CİHAZ;;SN:R2017002007;27.12.2017;;EKRAN KARARMA SORUNU;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI ADANA ATATÜRK CADDESİ;ROBOTPOS YAZICI;;SN:1612090073;28.12.2017;;KESME BIÇAĞININ TIRNAĞI KIRIK;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;HIZLI VE KÖFTELİ GAZİANTEP SANKOPARK;ROBOTPOS CİHAZ;;SN:R2016002088;29.12.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI LEVENT ÇARŞI;ROBOTPOS CİHAZ;;SN:R2016001192;02.01.2018;;USB PORT SORUNU;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI ORDU ÜNYE;ROBOTPOS CİHAZ;;SN:1708030016;16.01.2018;;SİLİK YAZDIRMA SORUNU;;TEKNİK SERVİS METİN BEY'DE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI İZMİR BOSTANLI;ROBOTPOS CİHAZ;;SN:R20166002099;17.01.2018;;FORMAT ATILCAK;;OFİS İÇİNDE KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;AŞVE RESTORANT RİNGS AVM;MÜŞTERİ EKRANI;;SN:LB12570148 ;17.01.2018;;OFİS İÇİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;AŞVE RESTORANT RİNGS AVM;MÜŞTERİ EKRANI;;SN:L205880060;17.01.2018;;OFİS İÇİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI EMAAR AVM;ROBOTPOS YAZICI;;SN:1612090022 ;24.01.2018;;OFİS İÇİ;;TEKNİK SERVİS METİN BEY'DE;ÜST KAPAK VE MERDANA DEĞİŞTİ TEKNİK SERVİSTE;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ISS KAVACIK MEDİPOL ÜNİVERSİTESİ;ROBOTPOS CİHAZ;;SN:2016001145;29.01.2018;;OFİS İÇİ;;OFİS İÇİNDE FORMAT ATILCAK;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ISS KAVACIK MEDİPOL ÜNİVERSİTESİ;ROBOTPOS CİHAZ;;SN:2016001146;30.01.2018;;OFİS İÇİ;;DOKUNMATİK SORUNU ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;VE ALA MANGAL BEYLİKDÜZÜ MİGSOR;ROBOTPOS YAZICI;;SN:1612090057;01.02.2018;;OFİS İÇİ;;TEKNİK SERVİS METİN BEYDE-- MAKAS SIKIŞTIRMA SORUNU ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI AYDIN FORUM;ROBOTPOS YAZICI;;SN:1612090069 ;01.02.2018;;KAĞIT SIKIŞMASINDAN DOLAYI KAPAK ZORLAMIŞLAR;;TEKNİK SERVİS METİN BEYDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PAVO PARAÇEKMECESİ;;SN:842536;06.02.2018;;ANAHTAR GOVDESİ YOK VE CEKMECE YAMULTULMUŞ. ONARIMI MUMKUN DEGIL.;;TEKNIK SERVISTEN METIN BEY KONTROL EDECEK OFIS ICINDE.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PAVO PARAÇEKMECESİ;;SN:223248;06.02.2018;;ANAHTAR VE KABLO YOK METİN BEYDEN TEMİN EDEİLECEK.;;OFİS İÇİNDE ;30USD+KDV;35USD+KDV;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI ADANA ATATÜRK CADDESİ;ROBOTPOS YAZICI;;SN:1612090075;06.02.2018;;KAPAK KAPANMAMA SORUNU;;TEKNİK SERVİS JİLET DEĞİŞİMİ;3 ADET SIFIR YAZICI GÖNDERİLİD.;furkan bey 0505 378 99 37;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI KOZZY AVM;ROBOTPOS CİHAZ;;SN:2016001108 ;07.02.2018;;DOKUNMATİK SORUNU;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BURSA KENT MEYDANI;MÜŞTERİ EKRANI;; SN:2016301075;15.02.2018;;GENEL KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;OSMANLIOĞLU KURUYEMİS EMİNÖNÜ;ROBOTPOS CİHAZ;;SN:R2017002007;19.02.2018;;MÜŞTERİ EKRANINA GÖRÜNTÜ GELİYOR, ANA EKRANA GÖRÜNTÜ GELMİYOR;;TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BİR VARMIŞ BİR YOKMUŞ ÇENGELKÖY;ROBOTPOS YAZICI;;SN:1612090015;19.02.2018;;YAZICI KİTLENİYOR VE FİŞ ÇIKARTMIYOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;KASA CİHAZI;;SN:93337847;20.02.2018;;AÇILMAMA SORUNU;;TEKNİK SERVİS METNİN BEYE TESLİM EDİLDİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI NEOMARİN;ROBOTPOS YAZICI;;SN:SN:1708030023;26.02.2018;;KESMEME SORUNU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;HAYDE BALIK EVİ VADİ İSTANBUL;VİNTEC CİHAZ;;SN:6745A170863004D;28.02.2018;;DONMA SORUNU;;TEKNİK SERVİS METİN BEYE TESLİM EDİLDİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KASAP DÖNER 41 BURDA AVM;ROBOTPOS MÜŞTERİ EKRANI;;SN:R2017301101;06.03.2018;;SİLİK GÖSTERME SORUNU ;;TEKNİK SERVİS METİN BEYE TESLİM EDİLDİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ESKİŞEHİR ÖZDİLEK AVM ;MICROS PARACEKMECESİ;;159862;08.03.2018;;OFİS İÇİNDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAYSERİ MUTFAĞI ESENYURT CİTY CENTER;ROBOTPOS CİHAZ;;SN:R2017001099;12.03.2018;;WİNDOVS BAŞLATILAMIYOR ;;TEKNİK SERVİS METİN BEYE TESLİM EDİLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;RUMELİ ÇİKOLATACISI İZMİR KONAK;ROBOTPOS YAZICI;;SN:1708030111;10.03.2018;;EROR IŞIĞI SORUNU;;TEKNİK SERVİS METİN BEYE TESLİM EDİLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI NEOMARİN;ROBOTPOS YAZICI;;SN:1708030023;12.03.2018;;EROR IŞIĞI SORUNU;;TEKNİK SERVİS METİN BEYE TESLİM EDİLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI RÖNESANS;MICROS PARA ÇEKMECESİ;;SN:458569;12.03.2018;;ANAHTARI KIRIK;;YERİNE MICROS PARA ÇEKEMCESİ AINDI SIFIR PARA ÇEKMECESİ SATIŞI OLUCAK;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ RAMİZ BURSA OKSİJEN;ROBOTPOS CİHAZ;;R2017001110 ;13.03.2018;;FORMAT ATILCAK;;OFİS İÇİNDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BURSA KENT MEYDANI;ECHO PARA ÇEKMECESİ;;SN:548569;08.03.2018;;ALT VİDA ÇIKIK KAGIT PARA YAYI KIRIK;;POSSİFAYA İŞLENDİ. POSSİFAYA GONDERILDI. 05.04.2018 POSSİFAYA AİT DEĞİLMİŞ. YERİNE SIFIR PARA CEKMEECSİ GONDERILDI 16.04.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYAIS ÇORLU ORİON;ROBOTPOS CİHAZ;;R2016002074;15.03.2018;;AÇILMIYOR;;OFİS İÇİ TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNAYSI DÜZCE CADDE;ROBOTPOS CİHAZ;;R2017001108 ;20.03.2018;;AÇILMAMA SORUNU;;FORMAT ATILDI OFİS İÇİNDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;NOKTA STEAK HOUSE;ASUS ADAPTÖR;;SN.6DMNW75D01U6 ;27.03.2018;;ÇALIŞMAMA SORUNU;;TEKNİK SERVİS METİN BEYE TESLİM EDİLDİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI 3. HAVALİMANI AKPINAR;KART OKUYUCU;;SN:2016201122;28.03.2018;;ÇALIŞMAMA SORUNU;;TEKNİK SERVİS METİN BEYE TESLİM EDİLDİ;eskisi bizde yenşsş işletmeye teslim edildi.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ANTALYA AGORA;ROBOTPOS CİHAZ;;R2017001126;28.03.2018;;FORMAT ATILCAK;;OFİS İÇİNDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ŞEHRİ BAZAR BAŞAKŞEHİR;ROBOTPOS YAZICI;;SN:1612090094;30.03.2018;;KAPAĞI KIRILAN YAZICI;;TEKNİK SERVİS METİN BEYE TESLİM EDİLDİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;RUMELİ ÇİKOLATACISI İZMİR KONAK;ROBOTPOS YAZICI;;SN:1708030111;06.04.2018;;SORUN BİLİNMİYOR;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;ECHO PARA ÇEKMECESİ;;SN:415150900117;06.04.2018;;ÇEKEMCE KIRIK ALT TEKERLEK KIRIK;;OFİS İÇİNDE;SIFIR PARA ÇEKMECESİ İŞLETMEYE GÖNDERLDİ. ENES BEY ONAYLADI;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI İSTMARİN AVM;ROBOTPOS CİHAZ;;SN:R2017003048;09.04.2018;;İNTERNET SORUNU;;TEKNİK SERVİS METİN BEYDE;KURULUM ALİ BEYE DEVREDİLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;İNTİBA DÖNER KARTAL;ROBOTPOS YAZICI;;SN:2017071302;11.04.2018;;ETHERNET PORTU;;TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ÇORLU ORİON ;ROBOTPOS CİHAZ;;SN:2016001197;16.04.2018;;AÇILMAMA SORUNU;;RAM ÇIKARTILIP TAKILARAK SORUN GIDERILDI CİHAZ KRUULUM EKİBİ TARAFINDAN SUBEYE TESLİNE DİLDİ. 18.04.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PARA ÇEKMECESİ;;SN:DL520160800267;24.04.2018;;SORUN BİLİNMİYOR--kırılan yay onarımı yapıldı ofis içinde;;TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI NEOMARİN 11.05.2018;ROBOTPOS YAZICI;;SN:1708030021;25.04.2018;;YAZICIYA SU KAÇMIŞ;;TEKNİK SERVİS ;OFİS İÇİ;SORUN DEVAM EDIYOR  11.05.2018 METİN BEYE BIRAKILDI;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PARA ÇEKMECESİ;;SN:DL520160800267;02.05.2018;;YAZICI KONTROL EDİLECEK (BİZDE KALACAK VE MUADİL OLARAK İŞLENECEK);;SIFIR PARA ÇEKMECESİ GÖNDERİLECEK 45USD+KDV KARŞILIĞINDA. ENES BEY ONAYLADI.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BALIKESİR YAYALADA ;ROBOTPOS CİHAZ;;SN:R2016002126;02.05.2018;;KONTROL EDİLECEK;;FLESK KABLO DEĞİŞTİRLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KASAP DÖNER KONYA MERAM;ROBOTPOS CİHAZ ;;R2016002157 ;03.05.2018;;BİOS EKRANINDA KALIYOR HDD GORMUYOR;;FORMAT ATILARAK İŞLETEYE KARGOLANDI;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI CADDE BOSTAN;ROBOTPOS CİHAZ;;SN:R2016002127;03.05.2018;;SES SORUNU HAKKINDA;;HOPERLOR TAKILDI METIN BEY TARAFINDAN;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASU STARCITY;ROBOTPOS CİHAZ;;SN:2016001127;06.05.2018;;DOKUNMATİK SORUNU;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;GÖNÜL KAHVESİ NEVŞEHİR NİSSERA AVM;ROBOTPOS CİHAZ;;SN:R2017001103;07.05.2018;;KAPANMA SORUNU;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI KAVACIK CADDE;ROBOTPOS YAZICI;;1801160092;09.05.2018;;EROR IŞIĞI SORUNU;;TEKNİK SERVİS METİN BEYDE;OFİS İÇİ;sensor kablosu takıldı;;;;;;;;;;;;;;;;;;;;;;;;;
;;;YASU BABA SEYRANTEPE;PARMAKOKUYUCU SN:102017080001345;;SN:102017080001345;PARMAK OKUYUCU;;OKUMUYOR;;OFİS İÇİ--teslim edildi.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI İZMİT CADDE;ROBOTPOS YAZICI;;1708030040;24.05.2018;;KAPA SORUNU;;TEKNİK SERVİS METİN BEYDE;KAPAK SORUNU GİDERİLEREK İŞLETMEYE KARGOLANDI 29.05.2018;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;OSMANLIOĞLU KURUYEMİŞ ÇELİKTEPE;ROBOTPOS CİHAZ;;SN:2016001096;28.05.2018;;DONMA SORUNU;;TEKNİK SERVİSTE;TEKNİK SERVİSE ADAPTÖR İLE TESLİM EDİLİD.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI MARMARİS MARİNA;MICROS PARACEKMECSİ;;;28.05.2018;;OFİS İÇİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PARA ÇEKMECESİ;;SN:DL520160800411;30.05.2018;;AÇMA KAPAMA SORUNU ;;TEKNİK SERVİSTE--ÜCRETSİZ İÇ YAY DEĞİŞİMİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI AKBATI AVM;MÜŞTERİ EKRANI;; SN:2016301053 ;31.05.2018;;KARINCALANMA VAR;;TEKNİK SERVİSTE--METİN BEYLERDE;BIRAKILAN MÜŞTERİ EKRANI ŞUBEDE KALACAK, SERVİSE ALINAN MÜŞTERİ EKRANI ŞUBEDE KALACAK.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI GAZİANTEP SANKOPARK;YAZICI SORUNU;;1612090056;31.05.2018;;JİLET ÖNE KAYIYOR;;TEKNİK SERVİS METİN BEYDE;ANAKART VE JİLET DEĞİŞTİRLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI DENİZLİ FORUM;ROBOTPOS CİHAZ;;SN:2016001014;07.06.2018;;MÜŞTERİ EKRAN SORUNU GENEL KONTROL--SORUN GÖRÜLMEDİ ÇALIŞIR DURUMDA;;TEKNİK SERVİS METİN BEYDE;TEKNİK SERVİSE ADAPTÖR VE MÜŞTERİ EKRANIYLA TESLİM EDİLDİ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PARA ÇEKMECESİ;;SN:DL520160800411;07.06.2018;;GENEL KONTROL;;TEKNİK SERVİS;OFİS İÇİDE KAPAK SORUNU GIDERILDI;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PARA ÇEKMECESİ;;SN:456321;07.06.2018;;ANAHTAR SORUNU --OFİS İÇİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PARA ÇEKMECESİ;;SN:123698;07.06.2018;;ANAHTAR SORUNU --OFİS İÇİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KASAP DÖNER İSTMARİNA;ROBOTOPOS CİHAZ;;SN:2016001044;07.06.2018;;DOKUNMATİK SORUNU;;TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FARUK GÜLLÜOĞLU VENEZİA;ROBOTPOS CİHAZ;;SN:6745A170863090D;13.06.2018;;WİNDOWS HATASI;;TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;.;;;;;;;
;;;OSMANOĞLU KURUYEMİŞ EMİNÖNÜ ;ROBOTPOS CİHAZ;;SN:R2017003049;21.06.2018;;DOKUNMATİK KIRIK;;TEKNİK SERVİS;235usd+kdv;sinan bey onayladı;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI EMAAR AVM;ROBOTPOS YAZICI;;SN:1612090019;23.06.2018;;MAKAS SIKIŞTIRMA--cutter değişimi;;TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI GEBZE CENTER;ROBOTPOS YAZICI;;SN:1612090091;25.06.2018;;YAZICI KESME YAPMIYOR--jilet değişimi;;TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI OLİVİUM AVM;MONİTÖR;;SN:14010211;26.05.2018;;KAPANMA SORUNU---OFİS İÇİ;;TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI OLİVİUM AVM;KASA;;34902594146;26.05.2018;;GENEL KONTROL--OFİS İÇİ;;TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI TURGUTREİS MARİNA;ROBOTPOS YAZICI;;SN:1612090060 ;26.06.2018;;KAGIT ÇIKARKEN SIKIŞTIRIYOR.;;TEKNİK SERVİS ;jilet ve makara değişti;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PARA ÇEKMECESİ;;SN: 2113114;26.06.2018;;İÇ KISIM SORUNU;;OFİS İÇİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ÖZCANLAR KÖFTE BOLU HENDEK;ROBOTPOS CİHAZ;;SN:R2018001006;28.06.2018;;DLL HATASI---OFİS İÇİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ANKARA TUNALI  HILMI D&R;ROBOTPOS CİHAZ;;SN:R2016002032;28.06.2018;;MAVİ EKRAN SORUNU---;;- TEKNİK SERVİS OFİS;FORAT ATILDI VE KABLOLAR TEMİZLENDİ 03.07.2018;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ŞEHRİ BAZAAR;ROBOTPOS YAZICI;;SN:1612090094;26.06.2018;;ERROR VE SİLİK YAZDIRMA ---JİLET AYARI ;;TEKNİK SERVİS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI KURTKÖY CADDE;ROBOTPOS YAZICI;;SN:1612090104 ;06.07.2018;;KAPAK SORUNU;;TEKNİK SERVİS METİN BEYDE;sııfr yazıcı verıldı;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI KURTKÖY CADDE;ROBOTPOS YAZICI;;SN:1612090066;06.07.2018;;KAPAK SORUNU;;TEKNİK SERVİS METİN BEYDE;sıfır yazıcı verildi.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ŞEHRİBAZAR;ROBOTPOS YAZICI;;SN:1612090094;06.07.2018;;KAPAK SORUNU;;TEKNİK SERVİS METİN BEYDE;SIFIR YAZICI GÖNDERİLCEK;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI EMAR AVM;ROBOTPOS YAZICI;;SN:P312L056718;13.07.2018;;EROR IŞIGI YANAN YAZICI ;;TEKNİK SERVİS METİN BEYDE;SIFIR YAZICI GÖNDERİLCEK;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BURSA PODYUM PARK AVM ;ROBOTPOS YAZICI;;SN:1612090071;13.07.2018;;KAPAK SORUNU;;TEKNİK SERVİS METİN BEYDE;SIFIR YAZICI GÖNDERİLDİ.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DĞNYASI GEBZE CENTER;ROBOTPOS YAZICI;;SN:1612090091;13.07.2018;;KAPAK SORUNU;;TEKNİK SERVİS METİN BEYDE;SIFIR YAZICI GÖNDERİLCEK;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI TURGUTREİS MARİNA;ROBOTPOS YAZICI;;SN:1612090060;16.07.2018;;KAPAKSORUNU KAĞIT SIKIŞTIRMA VE SİLİK YAZDIRMA;;TEKNİK SERVİS METİN BEYDE;SIFIR YAZICI GÖNDERİLİD.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI BURSA İNEGÖL;ROBOTPOS CİHAZ;;SN:R2016002079;25.07.2018;;BİOS EKRANINDA KALIYOR HDD GORMUYOR;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PARA ÇEKMECESİ;;SN:DL520160800119;25.07.2018;;İÇ SORUNU;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ANKARA ANKAMALL;ROBOTPOS CIHAZ;;SN:2016001072;26.07.2018;;EKRAN KIRIK;;TEKNİK SERVİS METİN BEYDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;OTANTİK KADIKÖY;ROBOTPOS CİHAZ;;SN:R2017001006;30.07.2018;;BAĞŞANGIÇ EKRANINDA KALAN CİHAZ;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ANTALYA KAHYA OTEL ;ROBOTPOS CİHAZ ;;SN.1801160113;30.07.2018;;KAGIT KESTİGİNİ ANCAK HİÇ YAZMADIGINI iLETTİLER ;;TEKNİK SERVİS METİN BEYDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI NİŞANTAŞI NCİTY;ROBOTPOS CİHAZ;;SN:2016001187;06.08.2018;;FORMAT ATILCAK;;TEKNİK SERVİS METİN BEYDE;FORMAT ATILAN CİHAZ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI İZMİT ;ROBOTPOS YAZICI ;;SN:1612090093;06.08.2018;;SİLİK YAZDIRMA SORUNU;;TEKNİK SERVİS METİN BEYDE ;TERMAL KAFA DEĞİŞTİ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI YALOVA CADDE  (fatura paylaşıldı);ROBOTPOS YAZICI;;SN:1805120291;15.08.2018;;YAZICI SU ALMIŞ-ANAKART DEĞİŞİMİ;;TEKNİK SERVİS METİN BEYDE ;75 USD+KDV ;YUSUF BEY ONAYLADI  (FATURASI KESİLDİ);;10.09.2018 çıkışı yapıldı;;;;;;;;;;;;;;;;.;;;;;;;
;;;KAHVE DÜNYASI ORDU NOVADA;ROBOTPOS YAZICI;;SN:1801160161;16.08.2018;;SIVI TEMASI EROR VERMEKTE ;;TEKNİK SERVİS METİN BEYDE ;ANAKART DEĞİŞİTİ GARANTİ KAPSAMINDA;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ÖZCANLAR KÖFTE BOLU HENDEK KUZEY;ROBOTPOS CİHAZ;;SN:R2018001059;17.08.2018;;KART OKUYUCU SORUNU;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BAYLAN BEBEK GELDİ;ROBOTPOS YAZICI;;1612090009;###############################################################################################################################################################################################################################################################;;KAPAK KAPANMIYOR;;TEKNİK SERVİS METİN BEYDE;YERİNE SIFIR VERİLECEK;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI KARTAL KOÇTAŞ  (GELDİ);ROBOTPOS YAZICI;;SN: R2016002184;27.08.2018;;AÇILMAMA SORUNU;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MADO İNCİRLİ GELDİ;ROBOTPOS YAZICI;;SN:1612090090;27.08.2018;;KAPAK KAPANMAMA SORUNU;;TEKNİK SERVİS METİN BEYDE ;YERİNE SIFIR VERİLECEK;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;BAYLAN KADIÖY (GELDİ);ROBOTPOS YAZICI;;SN:1612090010;27.08.2018;;ARA ARA KAĞIT SIKIŞTIRMA SORUNU;;TEKNİK SERVİS METİN BEYDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;KASA;;SN:CZ1447017T;28.08.2018;;OFİS İÇİ- GENEL KONTROL;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI ANTALYA TERRACITY GELDİ;ROBOTPOS CİHAZ;;SN:2016001032;29.08.2018;;GEÇ AÇILMA SORUNU--ADAPTÖR İLE;;TEKNİK SERVİS METİN BEYDE---FORMATA AATILDI;;;;;;;;;;;;;;;;;;;;;;;;;;;
