İŞLEM YAPAN PERSONEL;FATURA TARİHİ;MARKA;İŞLETME ADI;CİHAZIN ADI;MODEL;CİHAZ SERİ NO;"TEKNİK SERVİSE 
 GİRİŞ TARİHİ";"TEKNİK SERVİSTEN 
 ÇIKIŞ TARİHİ";CİHAZ SORUNU;CİHAZ SORUN AÇIKLAMALARI;YAPILAN İŞLEM;TEKNİK SERVİS MASRAFI;"BİZİM MÜŞTERİYE
 SÖYLEDİĞİMİZ  MASRAF";ONAYLAYAN KİŞİ;"CONNECTE
 YAZILDI MI";;;;;;;;;;;;;;;;;;;;;;;
;;;SEYYAR YERİM HALKALI (geldi);ROBOTPOS CİHAZ;;SN:R2016002109;20.11.2017;;SES SORUNU HAKKINDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PAVO PARAÇEKMECESİ;;SN:528238;20.11.2017;;AÇILMIYOR.;;METİNDE;kilit değişimi ve kablo eklenecek;;30usd+kdv;35usd+kdv;mail atıldı;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PAVO PARAÇEKMECESİ;;SN:11213141;20.11.2017;;KABLO, ANAHTAR YOK. AÇILMIYOIR.;;METİNDE;kilit değişimi ve kablo eklenecek;;30usd+kdv;35usd+kdv;mail atıldı;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PAVO PARAÇEKMECESİ;;SN:263822 ;20.11.2017;;KABLO VE ANAHTAR YOK. ACILMIYOR.;;METİNDE;kilit değişimi ve kablo eklenecek;;30usd+kdv;35usd+kdv;mail atıldı;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI AKARETLER;MICROS CİHAZ;;SN:6341012262;21.11.2017;;FORMAT ATILACAK-OFİS İÇİ;;FORMAT ATILDI FAKAT DÜZELMEDİ, İNFİNİA SERVİSİ AÇIK FARKLI BİR CİHAZ GÖTÜRÜLECEK..04.12.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI DALYAN (METİNE VERİLCEK 27.11.2017);PARA ÇEKMECESİ;;SN:05234703100403;07.11.2017;;;;KİLİT ARIZASI;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI EMAAR AVM;ROBOTPOS YAZICI;;SN:1612090019;27.11.2017;;MAKAS SIKIŞMASI ;;YAIZIC İŞLETEYE TESLİM EDİLDİ MUADİL GERİ ALINDI.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;OSMANLIOĞLU KURUYEMİŞ KURTULUŞ;ROBOTPOS CİHAZ;;SN:R2017002007;27.11.2017;;SÜREKLİ KAPANMA SORUNU;;METİNDE ;CİHAZ ADAPTÖRÜ, BARKOD OKUYUCU VE ADAPTÖRÜ, ETHETNET KABLOSUYLA ALINDI TRİGER;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI EBUZİYA BAKIRKÖY;ROBOTPOS CİHAZ;;SN:R2016002165;28.11.2017;;YEŞİL EKRAN SORUNU;;METİNDE ;ADAPTÖR İLE GELDİ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ÇITIR USTA EXPRESS MITTOWN BODRUM ;ROBOTPOS YAZICI;;SN:1612090028;28.11.2017;;FİŞ ÇIKARTMAMA SORUNU;;METİNDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;RED MANGO MALTEPE;ROBOTPOS CİHAZ;;SN:R2017002017;29.11.2017;;GÜÇ GELMEME SORUNU;;METİNDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;HP SERVER;;CZ3452L182;30.11.2017;;SORUN BELLİ DEGİL;;METİNDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;
